[FAIL 1] built-ins/AbstractModuleSource/throw-from-constructor.js | Exception in /tmp/repro_built-ins__AbstractModuleSource__throw-from-constructor.js: TypeError: Cannot read properties of undefined (reading 'sameValue')
[FAIL 1] built-ins/Object/getOwnPropertyDescriptor/15.2.3.3-4-213.js | Exception in /tmp/repro_built-ins__Object__getOwnPropertyDescriptor__15.2.3.3-4-213.js: TypeError: Cannot read properties of undefined (reading 'hasOwnProperty')
[FAIL 1] built-ins/Date/prototype/getUTCSeconds/name.js | Exception in /tmp/repro_built-ins__Date__prototype__getUTCSeconds__name.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Array/prototype/keys/iteration-mutable.js | Exception in /tmp/repro_built-ins__Array__prototype__keys__iteration-mutable.js: Exhausted result `done` flag (after push) Expected SameValue(«false», «true») to be true
[FAIL 1] built-ins/String/prototype/replaceAll/searchValue-replacer-RegExp-call.js | Exception in /tmp/repro_built-ins__String__prototype__replaceAll__searchValue-replacer-RegExp-call.js: Should not call toString on searchValue
[FAIL 1] built-ins/String/prototype/indexOf/position-tointeger-toprimitive.js | Exception in /tmp/repro_built-ins__String__prototype__indexOf__position-tointeger-toprimitive.js: ToPrimitive: throw when skipping both valueOf and toString Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Array/prototype/includes/coerced-searchelement-fromindex-resize.js | Exception in /tmp/repro_built-ins__Array__prototype__includes__coerced-searchelement-fromindex-resize.js: Expected true but got false
[FAIL 1] built-ins/Date/prototype/S15.9.5_A41_T1.js | Exception in /tmp/repro_built-ins__Date__prototype__S15.9.5_A41_T1.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-c-i-33.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-c-i-33.js: accessed Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/String/prototype/concat/S15.5.4.6_A4_T2.js | Exception in /tmp/repro_built-ins__String__prototype__concat__S15.5.4.6_A4_T2.js: #1: e === "intostring". Actual: infirstarg
[FAIL 1] built-ins/Date/prototype/toTemporalInstant/length.js | Exception in /tmp/repro_built-ins__Date__prototype__toTemporalInstant__length.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Promise/allSettled/resolve-non-callable.js | Exception in /tmp/repro_built-ins__Promise__allSettled__resolve-non-callable.js: The promise should be rejected, but it was resolved
[FAIL 1] built-ins/Date/prototype/toDateString/prop-desc.js | Exception in /tmp/repro_built-ins__Date__prototype__toDateString__prop-desc.js: obj should have an own property toDateString
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-4-213.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-4-213.js: Expected obj[0] to be writable, but was not.
[FAIL 1] built-ins/Set/set-get-add-method-failure.js | Exception in /tmp/repro_built-ins__Set__set-get-add-method-failure.js: Expected a MyError but got a TypeError
[FAIL 1] built-ins/Array/prototype/splice/S15.4.4.12_A4_T2.js | Exception in /tmp/repro_built-ins__Array__prototype__splice__S15.4.4.12_A4_T2.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/reduce/15.4.4.21-9-b-29.js | Exception in /tmp/repro_built-ins__Array__prototype__reduce__15.4.4.21-9-b-29.js: testResult !== true
[FAIL 1] built-ins/Object/groupBy/callback-arg.js | Exception in /tmp/repro_built-ins__Object__groupBy__callback-arg.js: TypeError: is not a function
[FAIL 1] built-ins/NativeErrors/TypeError/proto-from-ctor-realm.js | Exception in /tmp/repro_built-ins__NativeErrors__TypeError__proto-from-ctor-realm.js: TypeError: Cannot read properties of undefined (reading 'createRealm')
[FAIL 1] built-ins/Array/prototype/lastIndexOf/calls-only-has-on-prototype-after-length-zeroed.js | Exception in /tmp/repro_built-ins__Array__prototype__lastIndexOf__calls-only-has-on-prototype-after-length-zeroed.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/copyWithin/fill-holes.js | Exception in /tmp/repro_built-ins__Array__prototype__copyWithin__fill-holes.js: Expected SameValue(«3», «5») to be true
[FAIL 1] built-ins/Math/sumPrecise/sum-is-NaN.js | Exception in /tmp/repro_built-ins__Math__sumPrecise__sum-is-NaN.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/filter/create-proto-from-ctor-realm-array.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__create-proto-from-ctor-realm-array.js: TypeError: Cannot read properties of undefined (reading 'createRealm')
[FAIL 1] built-ins/Date/prototype/setMilliseconds/this-value-non-date.js | Exception in /tmp/repro_built-ins__Date__prototype__setMilliseconds__this-value-non-date.js: Expected SameValue(«"undefined"», «"function"») to be true
[FAIL 1] built-ins/Function/prototype/apply/S15.3.4.3_A8_T6.js | Exception in /tmp/repro_built-ins__Function__prototype__apply__S15.3.4.3_A8_T6.js: #1: Function.prototype.apply can't be used as [[Construct]] caller
[FAIL 1] built-ins/Promise/any/iter-arg-is-empty-iterable-reject.js | Exception in /tmp/repro_built-ins__Promise__any__iter-arg-is-empty-iterable-reject.js: Expected SameValue(«[object Object]», «AggregateError») to be true
[FAIL 1] built-ins/Promise/allSettled/resolve-ignores-late-rejection-deferred.js | Exception in /tmp/repro_built-ins__Promise__allSettled__resolve-ignores-late-rejection-deferred.js: Expected SameValue(«[object Object]», «42») to be true
[FAIL 1] built-ins/String/prototype/slice/this-value-tostring-throws-toprimitive.js | Exception in /tmp/repro_built-ins__String__prototype__slice__this-value-tostring-throws-toprimitive.js: String.prototype.slice throws in its toprimitive step. Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Date/prototype/toUTCString/not-a-constructor.js | Exception in /tmp/repro_built-ins__Date__prototype__toUTCString__not-a-constructor.js: isConstructor invoked with a non-function value
[FAIL 1] built-ins/Function/prototype/apply/S15.3.4.3_A7_T2.js | Exception in /tmp/repro_built-ins__Function__prototype__apply__S15.3.4.3_A7_T2.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Promise/race/S25.4.4.3_A3.1_T2.js | Exception in /tmp/repro_built-ins__Promise__race__S25.4.4.3_A3.1_T2.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Object/defineProperties/15.2.3.7-5-b-245.js | Exception in /tmp/repro_built-ins__Object__defineProperties__15.2.3.7-5-b-245.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Promise/race/invoke-resolve-return.js | Exception in /tmp/repro_built-ins__Promise__race__invoke-resolve-return.js: new `then` method invoked exactly once Expected SameValue(«0», «1») to be true
[FAIL 1] built-ins/String/prototype/trim/15.5.4.20-2-45.js | Exception in /tmp/repro_built-ins__String__prototype__trim__15.5.4.20-2-45.js: str1.trim() Expected SameValue(«"abc   123   [object Object]"», «"abc   123   [object Object]    "») to be true
[FAIL 1] built-ins/Function/prototype/call/S15.3.4.4_A2_T1.js | Exception in /tmp/repro_built-ins__Function__prototype__call__S15.3.4.4_A2_T1.js: The value of Function.prototype.call.length is expected to be 1 Expected SameValue(«0», «1») to be true
[FAIL 1] built-ins/Promise/prototype/no-promise-state.js | Exception in /tmp/repro_built-ins__Promise__prototype__no-promise-state.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Promise/any/capability-resolve-throws-no-close.js | Exception in /tmp/repro_built-ins__Promise__any__capability-resolve-throws-no-close.js: Expected SameValue(«0», «1») to be true
[FAIL 1] built-ins/Function/length/S15.3.5.1_A1_T2.js | Exception in /tmp/repro_built-ins__Function__length__S15.3.5.1_A1_T2.js: TypeError: is not a function
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-3-228-1.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-3-228-1.js: obj.property Expected SameValue(«undefined», «"argumentGetProperty"») to be true
[FAIL 1] built-ins/Array/prototype/findLast/maximum-index.js | Exception in /tmp/repro_built-ins__Array__prototype__findLast__maximum-index.js: Expected SameValue(«4294967294», «9007199254740990») to be true
[FAIL 1] built-ins/Array/prototype/unshift/set-length-array-is-frozen.js | Exception in /tmp/repro_built-ins__Array__prototype__unshift__set-length-array-is-frozen.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Object/S15.2.2.1_A2_T5.js | Exception in /tmp/repro_built-ins__Object__S15.2.2.1_A2_T5.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Object/seal/symbol-object-contains-symbol-properties-non-strict.js | Exception in /tmp/repro_built-ins__Object__seal__symbol-object-contains-symbol-properties-non-strict.js: The value of `obj[symA]` is `2` Expected SameValue(«1», «2») to be true
[FAIL 1] built-ins/Function/prototype/apply/S15.3.4.3_A3_T4.js | Exception in /tmp/repro_built-ins__Function__prototype__apply__S15.3.4.3_A3_T4.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/some/15.4.4.17-7-c-i-29.js | Exception in /tmp/repro_built-ins__Array__prototype__some__15.4.4.17-7-c-i-29.js: Array.prototype.some.call(obj, callbackfn) !== true
[FAIL 1] built-ins/Function/S15.3.2.1_A1_T5.js | Exception in /tmp/repro_built-ins__Function__S15.3.2.1_A1_T5.js: #1: test failed with error TypeError: function is not a constructor
[FAIL 1] built-ins/SuppressedError/newtarget-proto.js | Exception in /tmp/repro_built-ins__SuppressedError__newtarget-proto.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Object/prototype/__lookupGetter__/length.js | Exception in /tmp/repro_built-ins__Object__prototype____lookupGetter____length.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Promise/reject-function-length.js | Exception in /tmp/repro_built-ins__Promise__reject-function-length.js: obj should have an own property length
[FAIL 1] built-ins/Promise/allSettled/invoke-resolve-get-once-no-calls.js | Exception in /tmp/repro_built-ins__Promise__allSettled__invoke-resolve-get-once-no-calls.js: Got `resolve` only once for each iterated value Expected SameValue(«0», «1») to be true
